CN Code;Description;Conventional rate of duty (%);Supplementary unit;Conventional Rate of duty (%);Note;CAS RN;Name;Chapter;Section;Section Name;Chapter Name
8901;Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the transport of persons or goods;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8901 10;"– Cruise ships, excursion boats and similar vessels principally designed for the transport of persons; ferry-boats of all kinds";;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8901 10 10;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8901 20;– Tankers;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8901 20 10;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8901 30;– Refrigerated vessels, other than those of subheading 8901 20;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8901 30 10;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8901 90;– Other vessels for the transport of goods and other vessels for the transport of both persons and goods;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8901 90 10;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8902 00;"Fishing vessels; factory ships and other vessels for processing or preserving fishery products";;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8902 00 10;– Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903;"Yachts and other vessels for pleasure or sports; rowing boats and canoes";;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903 22;– – Of a length exceeding 7,5 m but not exceeding 24 m;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903 22 10;– – – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903 23;– – Of a length exceeding 24 m;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903 23 10;– – – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903 32;– – Of a length exceeding 7,5 m but not exceeding 24 m;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903 32 10;– – – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903 33;– – Of a length exceeding 24 m;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8903 33 10;– – – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8904 00;Tugs and pusher craft;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8904 00 10;– Tugs;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8904 00 91;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8905;"Light-vessels, fire-floats, dredgers, floating cranes, and other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms";;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8905 10;– Dredgers;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8905 10 10;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8905 90;– Other;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8905 90 10;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8906;Other vessels, including warships and lifeboats other than rowing boats;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8906 10 00;– Warships;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8906 90;– Other;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8906 90 10;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1001;Wheat and meslin:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 11 00;– – Seed;►M230  148 €/t (1) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 19 00;– – Other;►M230  148 €/t (1) (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 91;– – Seed:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 91 10;– – – Spelt (3);►M230  12,8 ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 91 20;– – – Common wheat and meslin;►M230  95 €/t (1) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 91 90;– – – Other;►M230  95 €/t ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 99 00;– – Other;►M230  95 €/t (1) (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1002;Rye:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1002 10 00;– Seed;►M230  93 €/t (1) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1002 90 00;– Other;►M230  93 €/t (1) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1003;Barley:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1003 10 00;– Seed;►M230  93 €/t (2)  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1003 90 00;– Other;►M230  93 €/t (2)  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
