Section;Section Name;Chapter;Chapter Name;CN Code;Description;Supplementary unit
II;VEGETABLE PRODUCTS;10;CEREALS;1001;Wheat and meslin:;
II;VEGETABLE PRODUCTS;10;CEREALS;1001 11 00;– – Seed;—
II;VEGETABLE PRODUCTS;10;CEREALS;1001 19 00;– – Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1001 91;– – Seed:;
II;VEGETABLE PRODUCTS;10;CEREALS;1001 91 10;– – – Spelt (3);—
II;VEGETABLE PRODUCTS;10;CEREALS;1001 91 20;– – – Common wheat and meslin;—
II;VEGETABLE PRODUCTS;10;CEREALS;1001 91 90;– – – Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1001 99 00;– – Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1002;Rye:;
II;VEGETABLE PRODUCTS;10;CEREALS;1002 10 00;– Seed;—
II;VEGETABLE PRODUCTS;10;CEREALS;1002 90 00;– Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1003;Barley:;
II;VEGETABLE PRODUCTS;10;CEREALS;1003 10 00;– Seed;—
II;VEGETABLE PRODUCTS;10;CEREALS;1003 90 00;– Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1004;Oats:;
II;VEGETABLE PRODUCTS;10;CEREALS;1004 10 00;– Seed;—
II;VEGETABLE PRODUCTS;10;CEREALS;1004 90 00;– Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1005;Maize (corn):;
II;VEGETABLE PRODUCTS;10;CEREALS;1005 10;– Seed:;
II;VEGETABLE PRODUCTS;10;CEREALS;1005 10 13;– – – Three-cross hybrids;—
II;VEGETABLE PRODUCTS;10;CEREALS;1005 10 15;– – – Simple hybrids;—
II;VEGETABLE PRODUCTS;10;CEREALS;1005 10 18;– – – Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1005 10 90;– – Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1005 90 00;– Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006;Rice:;
II;VEGETABLE PRODUCTS;10;CEREALS;1006 10;– Rice in the husk (paddy or rough):;
II;VEGETABLE PRODUCTS;10;CEREALS;1006 10 10;– – For sowing (3);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 10 30;– – – Round grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 10 50;– – – Medium grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 10 71;– – – – Of a length/width ratio greater than 2 but less than 3;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 10 79;– – – – Of a length/width ratio equal to or greater than 3;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 10 90;– – – Other;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20;– Husked (brown) rice:;
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 11;– – – Round grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 13;– – – Medium grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 15;– – – – Of a length/width ratio greater than 2 but less than 3;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 17;– – – – Of a length/width ratio equal to or greater than 3 (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 19;– – – Other (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 92;– – – Round grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 94;– – – Medium grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 96;– – – – Of a length/width ratio greater than 2 but less than 3;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 98;– – – – Of a length/width ratio equal to or greater than 3 (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 20 99;– – – Other (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30;– Semi-milled or wholly milled rice, whether or not polished or glazed:;
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 21;– – – – Round grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 23;– – – – Medium grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 25;– – – – – Of a length/width ratio greater than 2 but less than 3;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 27;– – – – – Of a length/width ratio equal to or greater than 3 (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 29;– – – – Other (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 42;– – – – Round grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 44;– – – – Medium grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 46;– – – – – Of a length/width ratio greater than 2 but less than 3;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 48;– – – – – Of a length/width ratio equal to or greater than 3 (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 49;– – – – Other (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 61;– – – – Round grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 63;– – – – Medium grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 65;– – – – – Of a length/width ratio greater than 2 but less than 3;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 67;– – – – – Of a length/width ratio equal to or greater than 3 (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 69;– – – – Other (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 92;– – – – Round grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 94;– – – – Medium grain;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 96;– – – – – Of a length/width ratio greater than 2 but less than 3;—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 98;– – – – – Of a length/width ratio equal to or greater than 3 (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 30 99;– – – – Other (5);—
II;VEGETABLE PRODUCTS;10;CEREALS;1006 40 00;– Broken rice;—
II;VEGETABLE PRODUCTS;10;CEREALS;1007;Grain sorghum:;
II;VEGETABLE PRODUCTS;10;CEREALS;1007 10;– Seed:;
II;VEGETABLE PRODUCTS;10;CEREALS;1007 10 10;– – Hybrids (3);—
II;VEGETABLE PRODUCTS;10;CEREALS;1007 10 90;– – Other;—
